	Treatment1	Treatment2	Treatment3	Treatment4	Treatment5	Treatment6	Treatment7	Treatment8	Treatment9	Treatment10	Treatment11	Treatment12	Treatment13	Treatment14	Treatment15	Treatment16	Treatment17	Treatment18	Treatment19	Treatment20	Treatment21	Treatment22	Treatment23	Treatment24	Treatment25	Treatment26	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28
MH0390_GL0159786	5533525.593	7838526.611	7642138.204	6492807.426	6677135.235	7347806.848	5062405.28	6312535.14	4326905.223	6505392.282	4903604.455	5083960.373	7909318.416	6395602.288	9859273.224	2606278.058	3058678.021	2782935.91	2783505.816	6645979.74	6935655.186	-368125.0212	7800234.979	4691656.626	5622433.982	8425047.46	5274956.517	5258770.659	2720963.055	5352648.634	4888339.773	3597924.01	2111272.824	5952749.084	6747909.851	8190402.764	6731821.462	5361825.611	4153343.026	3455474.398	4731345.119	5265930.987	5984234.893	7203437.817	7395284.347	6922990.661	5623147.547	7105910.372	6821532.168	5436443.033	5137349.589	5094613.605	5290084.282	5797217.965
MH0088_GL0066516	2731281.994	3579209.442	3411749.084	3423437.307	3534664.376	4439690.813	3572838.477	3920909.071	3150279.058	1383069.679	874951.3819	3295030.381	4383499.69	3155078.549	3313838.937	1137152.269	1512284.676	1167771.752	975481.3999	3231456.625	3528037.096	3900675.049	1660992.356	2069094.858	1647802.262	2135983.95	2268449.615	3388585.151	2907242.878	3638500.609	2097988.524	2894068.65	2875410.522	2549858.358	3028747.584	1996668.123	2820914.172	1359409.606	2109464.433	2975284.938	2073141.674	2474127.943	3665271.742	3620304.844	4480537.344	4152646.425	3276916.269	2796748.771	2781668.408	1953778.339	2784027.603	3106221.589	2942456.936	2565921.739
MH0293_GL0090794	4823154.718	7728784.508	5813877.958	4799203.516	4694523.536	5772628.794	5655854.247	3203911.786	7248997.45	7211387.772	5913998.503	6967877.33	6592185.508	8305727.746	4158046.982	7195570.371	4147639.138	5834796.614	6403558.118	5131144.258	6049568.576	6202445.536	5292536.418	7131495.976	5849401.456	6195066.28	3788256.579	4271008.129	3865820.407	4406467.246	5015774.676	4756706.386	7086221.314	4811782.625	2949487.892	2753700.582	3889078.927	3553050.911	3114614.081	5686219.214	3892048.56	4039526.439	5121434.728	3677420.117	4433626.561	4402258.224	4775483.196	5277461.044	4579591.427	4248344.175	3950868.97	4416956.213	4025760.651	4153842.447
762983.HMPREF9444_01603	3076487.003	3780607.312	2937273.451	3948482.477	3634128.658	4194572.859	5099184.522	3775546.284	2275249.168	5360685.53	4606585.636	4269586.348	887038.3953	5559797.662	8551653.927	1835943.106	5968736.524	5855383.056	1752523.145	3087840.544	5692808.811	4596020.967	5705210.093	2431461.893	4506298.318	3699637.605	6573613.32	5889829.108	4708424.691	1374396.604	3410319.893	2775938.868	1539149.499	4522907.695	6512267.11	6589870.231	5910936.646	5014939.257	4867449.888	2272786.519	4364318.247	4520904.504	3137814.388	5107281.672	4662926.622	3253688.573	646527.8816	5179150.908	5619451.313	4796199.902	4839704.383	1310251.928	5262478.536	4734047.532
V1.UC27-0_GL0075528	1157398.607	1157398.607	1157398.607	1157398.607	1072221.382	1422549.286	501706.6815	1654048.129	1368299.257	1395572.195	1209894.433	1128758.083	1128758.083	1236111.859	1128758.083	870755.4136	995390.5173	1021195.708	990214.8191	1146130.7	1146130.7	1146130.7	891368.9976	965777.5677	1243027.219	916218.6081	1157398.607	1157398.607	1157398.607	1157398.607	960452.9599	645818.8421	1118190.653	1505173.792	1546630.306	1181339.287	1046534.044	1568566.481	1128758.083	1128758.083	1128758.083	1222520.224	952962.3066	1377544.765	1278839.999	1105637.359	1146130.7	1146130.7	1146130.7	1146130.7	1335599.616	1268952.166	1001287.03	1110153.103
MH0108_GL0011167	900692.6695	900692.6695	900692.6695	900692.6695	904920.4155	904920.4155	904920.4155	904920.4155	905822.2759	905822.2759	905822.2759	536981.4985	449619.5517	503077.9316	428267.5787	1833443.361	1656843.728	1437747.825	1321805.369	985022.9154	895421.6895	1421253.104	1036813.254	662948.5189	974727.6882	959625.7938	900692.6695	900692.6695	900692.6695	900692.6695	904920.4155	904920.4155	904920.4155	904920.4155	905822.2759	905822.2759	905822.2759	905822.2759	1516947.2	566834.3238	1265715.636	1021130.711	1494392.258	1673917.312	1327979.819	1306336.883	637661.5702	961104.8424	412434.6556	838758.4062	713556.645	861832.6376	616018.543	616018.543
NLM029_GL0061391	1344993.584	719829.5666	982929.3101	1224963.335	1556559.309	1652478.654	1316149.307	1469826.538	1019155.566	1019155.566	1019155.566	1044573.731	3222346.479	2035725.824	2183391.456	2261770.726	1461375.419	1064097.252	1985988.804	1891550.402	2255872.256	2281296.321	979910.5072	853517.4988	883616.9949	991825.9275	1031535.685	699207.3364	923923.1224	1109877.985	910980.6207	789828.1796	439203.2766	821393.5354	1019155.566	1019155.566	1019155.566	1019155.566	1007056.476	872711.3022	1412067.663	1311390.253	352187.822	447443.7536	323511.9728	384291.6573	-151421.3217	345682.6174	423339.4823	41401.55847	1046477.657	1204412.948	1085507.5	914960.272
O2.UC49-0_GL0142100	1651529.695	1780295.954	1800439.972	1914956.444	1535714.857	2102543.481	1733610.233	2246468.551	2616020.901	2616020.901	2616020.901	2493557.045	2946246.377	1830730.193	2504967.684	3476492.103	2395521.85	2854299.36	2570495.104	2335654.781	3210023.845	3410618.416	2132468.666	4226087.653	2996866.303	3238668.066	3751883.562	3781678.572	3775071.852	3673250.645	2784588.752	2745144.985	3930372.725	3867313.758	4377634.865	3896528.01	3215170.653	2777483.861	3868690.51	3882625.627	3520918.469	3914636.004	4413619.831	2909558.512	3161050.928	3378206.741	3660991.423	2949626.805	3049867.136	2093449.083	2895304.571	2752818.702	3055632.366	3469490.184
MH0335_GL0023398	8267769.747	8913430.632	7879878.456	7891917.599	7829803.661	8239328.897	6764635.196	10704537.37	7309151.271	7975712.118	7399577.539	6713473.458	8032781.72	6794681.42	9631251.27	4576503.955	9457659.523	9215881.883	6880439.232	8382664.287	8864819.111	8980012.376	8594929.508	7428767.503	8222024.822	8850536.191	7904946.26	8179372.752	6042672.258	5867362.546	8024557.9	6484400.59	4706434.128	7793295.11	8988231.59	8003384.177	7610765.134	7589576.905	7907901.286	5339645.968	7965703.087	8765651.465	6227324.532	8018270.009	8098116.329	7272954.783	4706026.646	6485368.093	6356683.014	5375331.075	7365596.336	7149645.563	7837571.223	8352819.75
DOM010_GL0012419	1113406.904	1209748.082	1165205.05	1403142.825	952356.3177	1601281.318	1251726.651	1929557.999	1331943.965	1328250.273	1361827.395	1400055.85	1411622.688	1475277.974	1118401.46	1734963.83	818327.9159	1706751.862	1157134.043	1336486.352	734295.459	1018709.381	1494874.744	1615490.612	1195981.642	1672335.485	1344108.311	1853916.051	1907645.145	613985.0394	1417964.934	952442.0296	1067403.152	974448.5669	1295374.326	1098469.235	1098469.235	1181838.161	663395.2086	906279.9684	1344011.317	231918.2413	803698.43	1277064.488	1205866.88	1020131.047	1751727.043	567197.4831	940209.2809	1458507.861	1732896.814	2251173.4	1837464.352	2141509.813
MH0067_GL0015536	770117.5558	770117.5558	770117.5558	770117.5558	545381.3772	545381.3772	572487.4729	545381.3772	360424.4448	1429255.27	640724.5347	728152.6296	728152.6296	728152.6296	728152.6296	650942.4491	650942.4491	825842.4462	695832.1289	-42735.01758	4847.757396	-90470.91491	622241.2339	664074.2998	622241.2339	622241.2339	770117.5558	770117.5558	770117.5558	770117.5558	1961670.182	545381.3772	592108.4192	545381.3772	2075653.546	1301666.773	321452.6417	767279.5461	728152.6296	728152.6296	728152.6296	728152.6296	678963.2921	650942.4491	914670.2694	710497.2074	1238324.97	2595103.967	4831456.11	259222.2865	957341.1835	622241.2339	998806.3928	904539.9817
V1.FI25_GL0042905	4473853.705	5923724.178	6279210.61	6101910.644	4851735.569	6988838.076	4722815.9	6081940.001	6909841.215	5366358.037	5132469.009	6072001.689	7532947.716	5650772.978	5690568.204	8227244.559	5605548.743	6138629.777	5460312.507	7471982.475	6094736.031	5492458.191	7993581.78	7243871.825	7796456.487	7532017.027	4040687.725	5930040.489	7686307.466	6376393.154	4799649.72	6047407.947	6001509.092	5339356.951	5901598.171	6202334.589	6793357.717	4358268.666	5211094.728	5946501.92	5915931.464	6983537.617	5969851.076	4567862.67	6699580.935	5825566.926	7070965.139	7286915.346	6500495.712	5115499.582	5167654.434	5270337.062	5673207.917	5330362.031
MH0010_GL0032763	1052215.541	1620310.637	1070624.484	2361832.549	2555610.292	1578570.557	1527330.887	2549521.204	1226295.7	1404500.163	2475363.666	1703264.597	1569550.087	1704406.191	1684618.558	1473334.231	1586634.589	1804765.615	1781784.279	1918952.74	1184486.524	1020892.615	1257609.827	1241226.166	1645482.996	1471166.742	2606070	1552568.16	1005904.597	1618184.191	2378265.623	1758229.08	1523464.317	2506897.593	2740165.678	1715279.224	1351133.06	2629265.266	2003038.787	1378700.9	2466969.999	1383478.683	1670090.241	2012200.006	2104946.763	1486057.019	2412275.871	1931078.875	3293635.33	2363989.165	1984647.982	2026292.424	2205732.525	1541171.576
V1.CD40-0_GL0147731	1196975.625	1049509.037	903872.8251	1043620.958	1072529.688	1041177.642	901708.5438	1157158.285	1233525.978	1267607.954	1362196.609	881359.5213	996527.6984	881359.5213	1190585.058	1099374.841	1099374.841	1099374.841	1099374.841	1090341.76	476713.1255	88308.46381	593010.6024	727684.8237	930615.0574	216922.5476	1150312.053	1200856.905	1071142.762	969126.8454	1230483.582	1068753.8	987145.9124	1242054.849	1275427.716	1152647.295	1111314.267	1421565.868	1093405.245	1020561.39	1186789.154	881359.5213	1099374.841	1099374.841	1099374.841	1099374.841	2156903.497	1653873.014	1308692.981	1822349.663	2488594.375	2018594.575	2253355.56	1341621.374
MH0270_GL0193444	3165362.336	2784183.841	2489923.753	1473852.412	2850006.345	2025072.27	2487276.116	2568903.617	2898643.294	2043123.746	2867862.169	2837771.69	1738478.74	1784092.556	2396534.05	2011148.439	2654551.218	2614879.06	4166485.974	2831880.876	2321104.328	2596295.436	3118635.175	2599533.834	2389278.565	1926317.073	3113769.706	3616706.81	3532944.657	4062588.535	3453025.55	4296228.134	4227114.034	2836648.157	3769599.567	3234872.152	3052382.734	3174362.406	3311344.458	4083332.942	3862866.167	3779038.111	3623979.514	2878994.048	2761350.314	2566558.647	2535111.507	2607494.28	2082650.892	3667014.189	3571137.736	3401333.92	3196461.924	3547605.142
MH0012_GL0186886	2172899.906	666107.7427	1478729.634	1519429.643	1075926.008	1075926.008	1075926.008	1075926.008	1077702.771	1077702.771	1077702.771	521231.9366	1210141.494	1255783.282	505324.6111	1044480.336	935731.8134	1240315.346	1309009.198	999298.3421	1137215.623	999298.3421	1192028.91	1441574.974	1046792.267	1308550.909	1570750.571	1248028.687	216421.2895	867783.5838	1075926.008	1075926.008	1105125.515	1075926.008	1347266.516	1077702.771	1308294.963	1240906.129	728271.896	1631073.8	-137808.5584	1399438.668	1154142.097	1044772.572	717527.9221	995055.8309	999298.3421	1228774.61	1066613.707	1150225.086	1162997.542	1046792.267	1046792.267	1046792.267
MH0239_GL0018928	5388833.514	7967791.425	6957440.673	6710565.117	6848538.338	7596338.602	6603105.117	6520771.288	7246585.498	6486776.416	5506511.979	5473820.297	5675352.085	6080579.566	7032986.769	5466970.962	4935147.231	6120057.987	5517738.274	7806568.206	5706513.993	7173783.714	7111785.692	7955307.015	7743931.051	7721179.105	5027575.998	6511755.061	6541569.603	6620703.529	4252931.727	6594479.668	6413345.246	7537267.347	7274978.306	7203064.476	7470329.595	5006403.909	6747351.165	6833546.757	7116946.326	7168807.942	8127790.365	6323807.533	7885008.665	6191319.306	5099783.417	8129202.537	7650896.056	5704668.507	5897908.002	6660428.62	5729486.956	5582684.98
MH0182_GL0009170	1834173.776	1834173.776	1834173.776	1834173.776	1652087.602	2066911.059	2029575.531	1634659.633	2406312.449	1055109.923	1055109.923	2259105.234	2926037.521	2100832.192	3125376.954	-315.4075463	2423018.684	3803934.262	2081335.325	1456991.112	1701617.933	1427477.677	2946425.1	4406599.93	4145476.821	3827385.191	1834173.776	1834173.776	1834173.776	1834173.776	1834349.212	1957525.755	2305116.923	1560508.11	1290637.183	1702911.019	1514893.729	1055109.923	1890565.221	1771225.937	2481357.246	1292564.546	-159374.0407	1533354.936	2177299.055	2039726.051	5629262.809	1882958.213	1971194.256	2486994.777	1445906.261	1145691.2	1133170.646	1678858.124
MH0052_GL0056300	606453.6292	5488279.637	2382683.136	850589.4556	715180.4632	3080285.63	748268.2528	867326.9694	888109.5203	1773067.898	1404272.478	1369235.908	1856467.402	5021173.855	-82237.35908	2027648.03	1108193.846	1435232.525	1598677.394	1338470.447	1294974.325	616312.8749	1002597.245	1240771.978	1084491.348	1491229.597	41419.22535	370109.8455	215738.35	235329.7714	348778.4273	34005.52495	449277.8857	620736.0524	1244854.444	914919.7842	1259310.856	1298433.129	110756.1488	-57972.55327	65008.64348	445008.0824	700860.7115	983808.9315	1084493.503	639593.5542	874911.5461	749240.2748	579422.4726	328811.6407	1597049.479	1488743.482	348891.7839	1429027.494
MH0086_GL0079689	1042478.213	1042478.213	1042478.213	1042478.213	1073193.238	1479961.906	405381.7635	540708.039	997591.352	997591.352	997591.352	244477.5976	959290.1586	-1260.663854	1272275.454	932195.9735	1021865.081	992022.7236	932195.9735	1032039.678	1032039.678	1032039.678	1024921.667	1070968.147	1062966.619	1099513.798	1042478.213	1042478.213	1042478.213	1042478.213	309942.5128	598629.7911	2124473.039	1899236.407	1144125.826	997591.352	1050055.014	997591.352	1495732.585	2638488.157	1439706.845	2659679.449	1009439.919	1243402.641	932195.9735	997287.4625	1032039.678	1032039.678	1032039.678	1032039.678	1045823.145	1024921.667	1024921.667	1024921.667
MH0059_GL0049669	3774803.399	3780662.339	2952883.827	3338761.359	1216255.913	1216255.913	1216255.913	1216255.913	1294658.205	1290346.21	1180750.192	879740.2759	1312428.407	2046587.798	1375507.87	937200.4088	1125220.962	1064584.287	912983.2265	2110889.042	1626625.77	2184071.97	1203654.013	1203654.013	1203654.013	1203654.013	844819.8564	1034401.492	981585.4941	1531128.472	1216255.913	1234038.27	1216255.913	1216255.913	1253741.739	1320960.743	1180750.192	1180750.192	1146296.129	1603850.625	1637050.343	1333462.322	1043741.016	1651532.31	1038511.454	1149082.01	2765308.661	2420889.995	2090117.65	1876848.588	1203654.013	1203654.013	1203654.013	1316035.345
V1.CD15-3_GL0050352	580960.7646	1035663.941	1277579.624	982778.0717	838480.8208	790425.6133	790425.6133	790425.6133	800761.5784	851850.6524	803590.591	798990.72	810555.2979	807394.4898	819289.0343	795453.282	795071.5957	795071.5957	799582.3997	784373.4964	787331.8935	796861.7167	797376.0579	797965.3444	801408.0708	797376.0579	1632397.383	1810595.152	624683.3908	1130057.48	802242.2251	790425.6133	790425.6133	832244.6864	800761.5784	800761.5784	806704.5113	800761.5784	798990.72	798990.72	798990.72	798990.72	795071.5957	795071.5957	795362.7531	795071.5957	785902.7397	792048.8446	792537.4502	800642.4302	812033.5339	813370.3295	797376.0579	799026.3567
MH0308_GL0114835	788978.8439	690975.1615	1778514.329	1304135.038	-214510.9502	608453.4487	485202.5035	2224921.477	1118813.264	1001901.333	955521.9311	1844761.479	1163388.542	700036.0628	2308878.232	3847507.891	3130512.42	3399021.308	651596.1832	959101.3964	775936.2222	784721.7277	1123066.916	1296531.745	1220304.947	790820.6913	789370.9295	1018776.457	1141430.584	690975.1615	36188.09092	2324361.663	2710660.958	197939.8225	955521.9311	1118387.417	955521.9311	955521.9311	700036.0628	859594.0392	700036.0628	700036.0628	-591338.8744	1029086.325	179272.6299	-337097.8708	866314.5298	1034340.191	465851.4601	758984.5548	1435792.24	639368.7941	785983.2214	1016471.558
MH0149_GL0094229	4198964.662	5059448.078	5520652.176	5288382.119	4236269.903	4262132.902	5464261.158	4170910.695	5168472.741	3353885.788	3524823.345	4057149.02	3573117.121	3543347.505	4356958.451	7201306.483	5396346.333	4686582.82	6022158.212	5277352.258	5786222.959	5455028.165	5685506.883	6888522.842	5199695.902	5557198.978	4275276.009	4947066.066	4410384.624	5030257.945	4531789.757	4625016.849	6260600.957	5040629.236	4726584.923	4114502.216	3880314.05	4299921.81	3992280.66	6163533.09	3753664.327	4838417.667	4564687.527	3879530.527	4004424.092	3930087.608	3709987.871	3306322.014	3442230.634	3663348.58	3672547.27	3361736.89	4041820.527	3724801.7
V1.UC23-1_GL0004767	512925.4304	1986723.454	1008887.392	983136.631	1151094.151	1129098.435	1129098.435	1129098.435	1135738.624	1135738.624	1269942.99	1603320.016	772657.3742	1989610.369	443974.4981	636338.2528	1675828.97	1405952.038	1550120.541	1124743.234	1124743.234	1124743.234	1134441.259	1184868.628	1134441.259	1134441.259	1128403.254	1883951.36	435673.1482	2687883.182	1129098.435	1129098.435	1129098.435	1129098.435	1135738.624	1135738.624	1135738.624	1135738.624	1820030.09	2364553.195	321049.5539	1799588.728	1036318.046	1024588.027	742496.651	1366765.472	1176103.886	1124743.234	1124743.234	1124743.234	1134441.259	1134441.259	1134441.259	1166296.474
MH0041_GL0034073	3173898.099	3283072.969	2759801.746	2680470.068	1320008.634	1591294.061	1113728.007	1060846.337	1119766.02	1542789.206	1403479.347	533736.197	633833.8933	1343452.544	411928.9317	1259127.125	1330765.125	1236841.354	1290627.9	1792529.129	559537.117	1882076.583	1045169.353	1045169.353	1411690.194	1045169.353	1751711.106	1050705.138	1207955.8	1758068.236	1060846.337	1243691.351	1145737.447	1399003.718	1127116.29	1291332.622	1411133.277	1062525.85	1101491.035	2012538.677	773107.1492	2072103.855	1378191.377	1200382.898	1195866.747	1149510.059	2471580.988	2894531.049	2040401.183	1805069.692	1045169.353	1045169.353	1359998.516	1211518.542
MH0427_GL0098355	2167229.213	2776179.774	2369261.991	3524319.035	4133943.604	4465645.175	2608166.85	4670167.139	2556328.765	2588021.183	1924674.499	2394587.577	2781146.774	2623542.82	7591310.603	1536680.777	4826104.44	2248819.705	5468721.237	2828445.987	2012098.336	5476962.281	5422385.19	1838195.586	4182750.897	2696822.632	1922698.245	2504742.795	5681078.362	4486090.133	1155985.199	1404111.599	2917283.947	1985516.698	3861690.698	3345835.65	3743697.388	3158484.703	3133608.118	5417112.345	1949299.432	1960606.946	3708700.301	4000928.922	6322597.78	4119268.047	6968143.723	3310390.636	1828019.034	2005143.198	5726248.937	3532735.785	3356467.597	3987851.036
MH0003_GL0082437	837255.9047	837255.9047	837255.9047	837255.9047	943281.3288	489953.2147	574007.4016	1293524.926	980244.987	559156.8389	582053.2451	852761.2627	822265.0655	822265.0655	822265.0655	835788.4787	838682.8234	835788.4787	835788.4787	660127.1093	609432.8701	458627.1675	815242.5161	840239.9584	839423.9623	817089.9403	837255.9047	837255.9047	837255.9047	837255.9047	1148124.654	833739.3295	966823.3435	852876.5712	771434.3347	253007.8877	556490.0362	684687.0523	822265.0655	829573.3821	822265.0655	871376.3818	835788.4787	835788.4787	835788.4787	835788.4787	887488.637	1080077.943	910731.1221	1472455.014	815242.5161	878408.7979	817632.2728	943806.4564
DOM016_GL0068318	5397822.168	3050538.907	3790711.364	4347257.713	4160072.433	3927321.551	2781680.673	3836593.59	4478752.923	3804143.8	3553334.565	4315623.495	3713331.751	3413909.702	3819569.538	3104449.978	3331091.261	3879339.293	4084676.536	3112278.816	4462497.151	3955743.146	3958217.112	3275003.562	3789629.143	2602596.934	5781538.654	4184864.218	3397548.165	4263586.826	4524266.65	4062451.711	5061741.656	5037536.846	3654674.073	3656850.816	3066953.299	3517902.016	4200224.273	4736100.452	4610338.93	3985947.403	3727563.054	5001592.784	4315049.035	5167330.992	6063609.374	5097677.838	4760868.188	5436573.303	5653714.957	5168484.201	4257244.618	4830875.987
MH0012_GL0208193	2666630.348	204310.3879	775689.5403	1208195.192	939000.0708	899359.1289	899359.1289	899359.1289	905104.1849	905104.1849	905104.1849	990416.0284	1367770.661	699199.904	959240.6848	1015439.372	836512.2395	749246.2899	1003006.111	885678.3034	885678.3034	885678.3034	896509.375	896509.375	904160.5777	896509.375	3322824.86	750321.9269	165489.0242	230934.225	899359.1289	899359.1289	899359.1289	899359.1289	905104.1849	905104.1849	905104.1849	905104.1849	101918.7356	1202437.915	452353.2378	-366671.7963	982460.906	779865.0901	822998.6496	890613.982	885678.3034	885678.3034	885678.3034	885678.3034	896509.375	896509.375	927798.2047	896509.375
DLF010_GL0004253	1104112.183	1104112.183	1104112.183	1104112.183	1286536.688	477370.7134	282261.0323	1130666.436	1004470.596	702714.7706	772716.8552	1115026.462	1115026.462	1115026.462	1115026.462	773538.3698	1138906.651	1217173.255	770864.0351	480238.7631	800718.5878	572871.9026	968294.9669	968294.9669	968294.9669	968294.9669	1104112.183	1212455.694	1104112.183	1104112.183	2027237.56	603018.4482	753224.8097	1932945.12	1940881.151	702714.7706	1766170.768	702714.7706	1115026.462	1115026.462	1115026.462	1115026.462	606641.2671	1508743.44	1406966.387	1163280.334	1889424.847	1039951.677	964160.9262	1647582.373	1304434.942	968294.9669	968294.9669	1254747.244
MH0197_GL0111665	-665934.9066	3059548.708	3078749.972	5586838.374	1040297.992	1075251.798	1200974.925	1201933.237	5348055.261	-122560.881	-122560.881	1081521.753	931400.5572	1075954.344	2223460.414	632776.1159	84485.57754	84485.57754	1428438.013	35289.23869	903212.3813	-154328.3036	2265138.834	766366.2902	2611940.055	2604185.353	936976.0967	-350122.335	947585.0143	512531.7161	4770010.387	194071.8759	194071.8759	194071.8759	949707.8761	-122560.881	2922945.625	821257.6078	336915.9433	282596.2816	1017578.428	362027.7631	84485.57754	1129121.279	5439340.246	114151.1432	4595916.318	-119715.7837	-111190.9977	702260.1832	766366.2902	766366.2902	766366.2902	766366.2902
MH0192_GL0026361	2855834.399	1946820.352	2660895.647	2671170.52	2635331.415	2278606.104	1329318.406	2924188.377	1401124.012	2627679.034	2870565.498	2105800.06	1709311.864	1485158.158	2741685.982	1063386.261	1799043.74	1877021.912	2608368.403	2633606.496	1921256.296	1701009.069	2653395.338	2202394.813	2091719.387	2210252.989	3419135.866	2221346.795	1508520.38	1928881.9	1281948.182	2931721.256	3139454.899	2094702.437	2340164.885	1509349.031	2785519.199	2392720.614	1081420.236	3296975.845	1991110.693	2624384.101	2563610.2	2391043.873	2672018.877	2635121.889	2068297.649	1829734.644	2544698.659	2136027.868	2144447.501	2087087.715	2105629.093	1957420.474
MH0001_GL0015313	1795045.701	5631511.776	4431234.124	2241361.47	2577664.78	3682424.598	3281116.566	1696647.479	2484431.141	1681223.006	1830641.642	4662495.538	3199826.511	5341981.919	1328790.11	3102890.073	1786912.691	1971846.376	2086380.185	2312442.628	2094551.895	2350540.088	3189033.093	3945107.876	4166712.417	4058820.525	1400233.188	1539726.895	1505299.829	1602354.853	1868731.552	1476559.258	1637514.342	1475894.841	2510598.006	2676609.774	2932646.823	2504423.35	1172063.508	1702704.654	954425.2025	1452189.791	3053038.384	1884829.27	1901446.5	2614200.577	3366695.134	2799911.876	2750897.601	2234910.956	2269145.573	1348010.748	1427630.391	1779370.432
V1.UC31-0_GL0092569	404303.9988	1814012.76	1840312.729	2114030.04	2577595.898	2238693.79	650763.5753	3608131.561	1202341.192	921810.6264	1776249.79	1590277.206	950524.4181	2789614.576	1130246.251	1264902.393	419235.695	221520.2814	491063.4305	2678914.343	662181.5414	1164074.077	1638503.835	1707269.873	1638503.835	1638503.835	2196046.418	1643367.005	369566.756	2482153.599	1897403.483	2525666.453	-356151.1326	2678233.495	649867.0573	1419443.578	1902561.204	1015260.266	1177777.812	1438243.991	2080962.206	2355137.131	2903780.68	976330.511	2102281.276	3872182.706	1374321.552	1649240.811	1651886.924	1183228.773	1638503.835	1638503.835	1638503.835	1638503.835
O2.UC16-1_GL0052335	4797512.567	4338457.24	3468484.75	3057567.587	2878955.22	4399486.866	4879338.704	3625573.38	3007076.023	4029295.569	4426684.124	4912685.46	4978945.583	4512072.626	5033686.486	3016736.152	3349759.093	2852216.907	3469035.546	4096636.264	4092853.334	3633278.455	3203588.535	5660016.373	5148918.143	4168267.429	4249057.793	3501361.891	2836471.168	2502989.563	3007971.129	4142364.892	3422314.183	3959122.268	2746435.467	2867078.847	3497701.85	3712712.65	3087233.859	3415580.825	3375608.151	3298124.174	5528739.377	3271483.921	3477261.508	3371866.366	4024862.834	4630233.882	4437508.932	5424853.672	4006933.036	3769637.43	3708317.05	3696908.608
MH0270_GL0048721	1024868.294	12984.20969	736487.4955	876170.6159	156314.7889	173518.7646	-273095.6089	770292.1103	1130418.343	1130418.343	1130418.343	1131612.704	1131612.704	1131612.704	1131612.704	137043.3611	1005999.095	71944.70836	-141573.3085	1033698.938	-158518.8538	43979.0448	1126626.462	1126626.462	1126626.462	1126626.462	2584344.227	797633.4094	990298.3161	818383.9003	1598964.191	1590403.961	1309795.425	1373475.19	1130418.343	1130418.343	1130418.343	1130418.343	1131612.704	1131612.704	1131612.704	1131612.704	1145933.378	3143265.759	1173614.216	1180847.399	2007915.298	1745443.207	1934477.511	1872307.956	1126626.462	1126626.462	1126626.462	1126626.462
MH0006_GL0032158	1658380.023	2558784.642	2749571.831	2343272.912	1876238.763	2053314.416	1596682.319	1929421.214	2363470.264	2363470.264	2506802.435	2952702.624	2569746.341	2803691.561	1998143.056	2850816.59	2806484.298	2641913.861	2397281.416	2029088.084	1927751.158	1928537.586	2010629.658	2173915.041	1882551.497	2160403.08	2003368.243	2939203.668	2470746.791	2870652.76	2437542.688	2441227.614	2330281.452	2867683.151	2363470.264	2363470.264	2363470.264	2363470.264	2608593.863	2639628.875	2152243.002	2242051.016	1920907.197	2301914.214	2171463.808	2261777.657	3054927.859	2352085.495	2740131.775	2600709.24	2489638.177	2809452.962	2253083.712	2440918.995
MH0147_GL0044846	619959.0841	775981.9893	820206.3399	696136.6601	1149544.6	1189613.836	1149544.6	1149544.6	1603392.032	1603392.032	1603392.032	2003952.493	1518459.748	997030.0288	1774748.174	2468732.604	1057924.23	1301520.651	1530292.857	1132892.891	2589128.048	1286832.79	678071.9318	1699720.57	2074836.813	1397696.476	2507070.989	2501712.749	2406320.975	3072855.898	1436061.494	1618097.248	2042432.886	2650513.9	2293008.78	1809853.01	2565325.052	1650851.628	2490927.453	2800710.362	2069439.441	3179214.143	3853013.433	2413281.119	1562839.256	2180552.075	2351661.199	2056350.724	2028659.483	1070625.928	1086692.765	1135356.494	1337059.925	2159612.118
O2.UC48-0_GL0103416	920542.7396	921545.4237	1780845.643	1203608.156	2509043.434	2311578.045	917663.0426	2218126.552	1606277.49	1801149.776	1736673.223	800445.4652	1421121.037	1504940.326	1434487.456	1497553.392	1003571.351	1155792.149	956031.3868	2911330.826	2921654.629	3340524.026	1628879.846	1628879.846	1628879.846	1798660.191	1897002.733	1321616.354	3611900.954	2404977.892	3078125.029	3326212.66	1879807.673	2094662.381	1824038.321	1606277.49	1606277.49	1660500.042	2043251.688	2026162.975	2093333.459	2271495.976	1980231.141	831142.197	2544903.715	2964633.596	1143832.907	964633.4777	958117.7735	1076514.161	1649844.091	1749658.21	1628879.846	1628879.846
