	Treatment1	Treatment2	Treatment3	Treatment4	Treatment5	Treatment6	Treatment7	Treatment8	Treatment9	Treatment10	Treatment11	Treatment12	Treatment13	Treatment14	Treatment15	Treatment16	Treatment17	Treatment18	Treatment19	Treatment20	Treatment21	Treatment22	Treatment23	Treatment24	Treatment25	Treatment26	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28
MH0432_GL0068116	-11155.5937	36688.63445	-11155.5937	49784.21602	39239.37395	39239.37395	39239.37395	39239.37395	39355.10712	39355.10712	39355.10712	36972.93544	50463.15	18958.02075	44373.72193	77537.06453	66181.85163	75675.39443	56006.02135	38657.38608	38657.38608	38657.38608	53857.58324	57479.62569	61403.40279	99720.02449	49400.07896	50652.99606	80194.07284	47990.44075	39239.37395	39239.37395	39239.37395	39239.37395	39355.10712	39355.10712	39355.10712	39355.10712	57727.83597	74682.19382	60513.18865	30843.2764	31481.68558	25244.6034	20117.70041	3285.668518	38657.38608	38657.38608	38657.38608	38657.38608	7071.539567	57889.29794	49962.01711	43473.49542
O2.UC15-0_GL0048229	21563.01537	21563.01537	100689.631	21563.01537	33858.97895	52452.35388	-4295.615194	51951.98537	87074.46011	37233.04499	39345.33274	880.7197784	880.7197784	92487.26848	880.7197784	11874.1037	11874.1037	11874.1037	91840.34967	34695.39713	34695.39713	34695.39713	10492.03169	10492.03169	10492.03169	10492.03169	68579.81233	21563.01537	111007.9567	21563.01537	-4295.615194	-4295.615194	-4295.615194	-4295.615194	27741.53257	35857.86297	23921.24221	16090.76999	880.7197784	57646.03537	50366.27878	63968.99872	11874.1037	111923.375	57109.44757	65302.6585	34695.39713	34695.39713	34695.39713	34695.39713	106746.6777	10492.03169	10492.03169	97154.95279
MH0319_GL0071893	32122.4862	32122.4862	32122.4862	32122.4862	32246.36861	32246.36861	32246.36861	32246.36861	70707.17019	73986.06418	50125.29659	64252.51653	94569.31123	63029.60042	93045.46811	28785.58425	28785.58425	28785.58425	28785.58425	52574.6604	64055.41472	102000.9018	7898.12724	96498.68605	7898.12724	7898.12724	32122.4862	32122.4862	32122.4862	32122.4862	32246.36861	32246.36861	32246.36861	32246.36861	48528.79733	49918.81712	33898.48798	37226.93704	-7400.123278	-7400.123278	42120.29599	14438.8535	28785.58425	28785.58425	66765.13722	28785.58425	21749.95272	61928.56192	48189.76713	-8980.944767	7898.12724	86580.87331	7898.12724	7898.12724
T2D-135A_GL0010436	24101.49825	24101.49825	24101.49825	97708.92854	15907.13006	15907.13006	15907.13006	92404.23716	21385.24825	15439.60867	13360.46487	28890.7895	28890.7895	28890.7895	28890.7895	18394.48027	18394.48027	115049.6628	18394.48027	-5163.959662	-5163.959662	-5163.959662	13434.07718	13434.07718	13434.07718	13434.07718	24101.49825	24101.49825	24101.49825	24101.49825	15907.13006	72570.38195	15907.13006	15907.13006	53807.69118	6140.904909	2016.168285	42014.01486	28890.7895	28890.7895	28890.7895	28890.7895	18394.48027	18394.48027	18394.48027	18394.48027	69749.92081	49526.4379	68069.90188	50625.59198	13434.07718	13434.07718	13434.07718	13434.07718
T2D-48A_GL0117313	14802.95275	65220.71478	69756.21257	19814.26042	69081.37325	66023.46752	64218.96492	72806.76588	67697.15813	67202.3696	39202.18462	57798.47778	57798.47778	57798.47778	57798.47778	1237.221695	76693.68963	33367.83181	52790.60356	91615.55376	69550.15056	90330.04364	83111.36365	41552.86331	41552.86331	41552.86331	99125.64762	49602.46382	56941.34444	65805.04272	56066.87076	43505.98083	3351.321551	77875.09044	21222.74262	42610.86953	37260.01212	39083.5884	57798.47778	57798.47778	57798.47778	57798.47778	96464.66875	80784.95316	78805.08621	80452.6678	70450.00765	-6816.712669	50501.15906	71168.38096	41552.86331	41552.86331	41552.86331	41552.86331
MH0370_GL0035732	4399.708977	80480.8757	87101.70573	39622.66213	53459.59353	98776.03526	53459.59353	53459.59353	33807.03129	33807.03129	33807.03129	38957.71118	-23789.1184	29249.25696	39977.79324	18487.68823	41470.4374	18487.68823	86836.12423	47545.19135	50532.70588	68046.45244	40345.62774	155919.5477	60857.26115	66481.19491	62477.91851	72391.99336	4399.708977	71868.30219	53459.59353	53459.59353	53459.59353	130207.2813	84887.05785	70189.49046	99065.33313	33807.03129	61672.21162	111548.5009	79363.73375	86324.19464	83029.29757	56647.90294	74894.89101	18487.68823	58850.92731	12711.66374	21906.07412	77956.52862	37793.81405	45607.65952	38421.6504	51032.72062
MH0197_GL0088004	2583.812977	2583.812977	2583.812977	44593.21267	41403.03404	30691.13535	29781.89308	36195.44729	23349.75213	23349.75213	23349.75213	280.724024	86982.05857	93217.1613	74758.13603	23034.22874	23034.22874	23034.22874	23034.22874	27553.44286	783.2070048	38719.76194	23265.31764	23265.31764	23265.31764	23265.31764	2583.812977	2583.812977	2583.812977	2583.812977	46741.70421	-11439.07562	-55882.31311	54287.34249	23349.75213	23349.75213	23349.75213	23349.75213	280.724024	280.724024	54441.01601	280.724024	23034.22874	23034.22874	23034.22874	23034.22874	783.2070048	783.2070048	783.2070048	783.2070048	23265.31764	23265.31764	23265.31764	23265.31764
MH0188_GL0004696	12981.11356	70030.49968	115418.486	96460.8796	61862.23492	77239.23874	2832.341137	64201.42802	90770.89147	8354.237749	70426.70806	17196.85351	17196.85351	96780.12868	17196.85351	76591.51819	68022.43152	132995.5338	109254.3074	64173.46778	61967.22099	35771.62681	21052.09219	21052.09219	21052.09219	21052.09219	86435.28811	70914.47412	12981.11356	92710.82311	121226.4605	86664.91062	119215.9517	2832.341137	81726.12691	67820.18426	61432.74419	55934.31624	17196.85351	103261.2545	68988.40712	57923.20511	-30529.89798	54393.354	57636.13452	50672.7725	90884.00388	78866.67878	107766.8506	56265.10744	73063.60772	21052.09219	21052.09219	81928.1318
MH0131_GL0038518	32688.80006	32688.80006	113490.0643	32688.80006	33325.88238	40990.3342	33313.22224	42946.32661	77411.79165	-2070.486911	52696.47337	-4737.902392	-4737.902392	34123.38694	27515.45873	10474.97034	98241.17691	10474.97034	95824.50884	87345.71788	63499.0949	99707.21683	81962.20424	102221.3446	46658.8597	127925.3401	63485.19979	64704.98242	32688.80006	95770.54337	77194.55103	-1478.122404	122634.3437	78140.26387	57451.72106	40870.37911	71396.45772	67689.10557	67706.27593	131423.5414	76399.83148	39501.06505	117362.8347	39591.03892	59028.61511	76345.0251	-15805.14839	12265.75549	31225.43513	39866.95315	52599.21353	65827.52754	92902.5905	-4498.566629
T2D-135A_GL0075832	22716.76437	10982.17257	34470.64277	17296.70904	27444.8464	22883.39115	-4389.799218	23461.71097	35220.68685	35220.68685	35220.68685	35094.11311	35094.11311	35094.11311	35094.11311	53785.39706	15921.27497	-8426.501503	34320.35338	32714.25581	5539.751186	5539.751186	35045.31853	35045.31853	35045.31853	35045.31853	63185.2598	34972.61558	33919.67158	47187.80856	31123.60299	80903.91825	52947.56647	31719.67824	35220.68685	35220.68685	35220.68685	35220.68685	35094.11311	35094.11311	35094.11311	35094.11311	43330.46608	70258.44328	26662.11055	52710.01929	83832.14316	32017.03185	24116.69189	45471.04202	35045.31853	35045.31853	35045.31853	35045.31853
